,Unnamed: 0,Unnamed: 0.1,Radiacion,Radiacion difusa,Ratio nubes,Factor solar,Área solar,Intensidad cielo,Intensidad cielo Equiponderado Coseno:True Gamma_corr:True,Intensidad cielo Equiponderado Coseno:False Gamma_corr:True,Intensidad cielo Equiponderado Coseno:True Gamma_corr:False,Intensidad cielo Equiponderado Coseno:False Gamma_corr:False,Intensidad cielo CCIR Coseno:True Gamma_corr:True,Intensidad cielo CCIR Coseno:False Gamma_corr:True,Intensidad cielo CCIR Coseno:True Gamma_corr:False,Intensidad cielo CCIR Coseno:False Gamma_corr:False,Intensidad cielo ITUR Coseno:True Gamma_corr:True,Intensidad cielo ITUR Coseno:False Gamma_corr:True,Intensidad cielo ITUR Coseno:True Gamma_corr:False,Intensidad cielo ITUR Coseno:False Gamma_corr:False,Intensidad nubes,Intensidad nubes Equiponderado Coseno:True Gamma_corr:True,Intensidad nubes Equiponderado Coseno:False Gamma_corr:True,Intensidad nubes Equiponderado Coseno:True Gamma_corr:False,Intensidad nubes Equiponderado Coseno:False Gamma_corr:False,Intensidad nubes CCIR Coseno:True Gamma_corr:True,Intensidad nubes CCIR Coseno:False Gamma_corr:True,Intensidad nubes CCIR Coseno:True Gamma_corr:False,Intensidad nubes CCIR Coseno:False Gamma_corr:False,Intensidad nubes ITUR Coseno:True Gamma_corr:True,Intensidad nubes ITUR Coseno:False Gamma_corr:True,Intensidad nubes ITUR Coseno:True Gamma_corr:False,Intensidad nubes ITUR Coseno:False Gamma_corr:False,ghi,Azimuth,Zenith
1074,1074,2020-05-10 15:33:00,1183.0480346679688,227.74749755859366,0.8939501156258776,0.2,17.0,0.7024167685573695,0.019968223846728715,0.06320299407285544,0.013430337134517478,0.03816191136164427,0.019564737467839155,0.06169483486687425,0.012736528825161521,0.035993217399606085,0.019749830826698997,0.06236590834814903,0.012964009795596058,0.036661186770796,0.7659588653112909,0.3818981777869166,0.6892059826106763,0.2863207652628179,0.5183953156719966,0.37652676919420736,0.6796594649962042,0.27674630118786825,0.5012438948676752,0.3791643916157416,0.6847290162096944,0.28043947987327417,0.508363244811746,939.5959140848355,223.84968334412326,28.655516187063146
1075,1075,2020-05-10 15:35:00,1138.3910522460938,187.18529510498047,0.913184608093202,0.0,3620.5,0.6989203694738069,0.015384572839675476,0.050973839880310866,0.010178793643562969,0.030340119081867564,0.015065801314309703,0.04975072135380036,0.009637025763468863,0.028595124317375868,0.015223181458396528,0.05032854350983255,0.009827673464874143,0.029171907720386418,0.758648985016958,0.38468054292886855,0.6961917295449304,0.2867589646790157,0.517808989464035,0.3795359444762553,0.6869000115556558,0.2776666167818515,0.5012532597528471,0.3825977014497953,0.6927865760630163,0.28203009935420936,0.5095597973998442,940.7207532685653,224.67044456548345,28.920771260481402
1076,1076,2020-05-10 15:37:00,1102.1704711914062,155.9209976196289,0.8668952307196838,0.0,652.5,0.6925473986335376,0.023623228839938372,0.0784995737388344,0.015548021437886191,0.046905731436373416,0.023137789767863296,0.07660663567112344,0.014720904455404544,0.04419505955964998,0.023386701894930025,0.07749565126550442,0.015013974080446238,0.04508435644024143,0.7530824766793487,0.3692604931808191,0.6563420660742668,0.2746090005111122,0.48556650252795397,0.3641972483905183,0.6473555818375372,0.2656720865864475,0.4696583966417402,0.3670945213053037,0.6528436073718948,0.2698143779885295,0.4773805727415114,941.7859225581819,225.47892998722224,29.1898756392094
1077,1077,2020-05-10 15:39:00,1110.093994140625,158.62529754638672,0.8168292023197369,0.25,366.0,0.6953494995868336,0.031443781295090234,0.10730146511677874,0.020795046073574405,0.06405879759696585,0.03080300039828538,0.10467153696622816,0.019705714108953,0.06033491653641704,0.031135519689502476,0.1059074211454221,0.02009477378800651,0.061545726206635,0.7564579111823303,0.3502374706789441,0.6212029109767774,0.26205745324906,0.4617026924618028,0.34554082250622603,0.612795971575621,0.2537675889336363,0.446852695785786,0.34823037815718355,0.6178969121795173,0.257598770111283,0.4539736868630069,942.7913405000106,226.27531203460572,29.462718317559872
1078,1078,2020-05-10 15:41:00,1080.8984985351562,143.1190948486328,0.8376504156015475,0.25,459.0,0.6934015792467472,0.026455342805362932,0.09411524400907087,0.017536202633431305,0.055527853593464786,0.025908522441096853,0.0918354138055261,0.016602789814622092,0.052288842735279235,0.02618463469059247,0.09290240397640666,0.01692824333062146,0.05332568322582242,0.7516579653927933,0.35678842923772297,0.6331083241233412,0.2663189961050322,0.4679625124078495,0.3519854292365899,0.624462894786435,0.2577620229474288,0.4526830187313598,0.3547031952050937,0.6296266071014869,0.2616905397826285,0.4599169703630863,943.7369302417009,227.05977038389847,29.73919105401955
1079,1079,2020-05-10 15:43:00,1082.4534912109377,136.4269027709961,0.7738055000696146,0.0,0.0,0.6970862714465453,0.041629209383916135,0.1338293839169702,0.02740670596015696,0.0798402769429413,0.04074651995021507,0.13060282779387647,0.025925253276667157,0.07515457024306617,0.04116905759895684,0.13209286371303947,0.026422449331105425,0.07663133767026058,0.7642862540154066,0.3406114495300361,0.5955348396585547,0.2607374481805106,0.4490694090804162,0.33591829402256074,0.587174946371467,0.2523833452420641,0.43431235247862254,0.3380947409929899,0.5914089069847241,0.2553439633224672,0.4400316660581332,944.6226195407972,227.83248996707462,30.019188028637906
1080,1080,2020-05-10 15:45:00,1076.1845092773438,128.60104751586914,0.9300379059738708,0.25,247.5,0.7100003818177425,0.00556716325746234,0.038221865320267966,0.0038330313214247616,0.02152098147386524,0.005444126709911536,0.03723416681504987,0.0036138569513205158,0.020179837992149632,0.005508692723784439,0.03769720848272386,0.003690884634415082,0.020603737056355136,0.7675001564218321,0.41336382815372497,0.7169298176038437,0.3168919751280558,0.5411098232485569,0.4088297163924618,0.7086291419485532,0.3087479428426301,0.526348604787289,0.4115165893642169,0.7138042383131791,0.3123790857716333,0.5333229666563005,945.4483410387828,228.5936604073217,30.302605944196873
1081,1081,2020-05-10 15:48:00,793.3860168457031,239.11585235595703,0.9304134029448152,0.25,208.5,0.7216494777081944,0.00491710968164106,0.0378498993506669,0.003422032846517892,0.021153655257810763,0.004807143177166651,0.03686230646809849,0.0032231420623595147,0.019831505990820376,0.0048701141280464025,0.037317681342261655,0.0032949169463844584,0.020245762508500697,0.7823797190437422,0.4228286830827537,0.7308451052917095,0.3307943275731116,0.5626188116919344,0.4185714314608712,0.7229588812618781,0.3229890256730897,0.5483360156538601,0.42114560674469204,0.7279365767904966,0.3266321533332784,0.5552932085533644,946.574346161,229.71418588945184,30.73392742125827
1082,1082,2020-05-10 15:50:00,1175.1224975585938,231.12994384765625,0.8561048494425909,0.25,758.5,0.7039721123931968,0.013545939109504765,0.08097499127990565,0.009130767685673292,0.04628521598798038,0.013246249846617406,0.07892736194250898,0.008613204061552812,0.043449102640615016,0.013398509649295877,0.0798625805311973,0.008787847356930818,0.04431953715706136,0.7673655381982684,0.3930566125333524,0.6608904029950924,0.29863363515129443,0.4973439423785047,0.38825129039062223,0.6525293243352079,0.2897243150717461,0.4820550272099184,0.3906378791480909,0.6569453585466613,0.2932992354009382,0.4885051958027897,947.2498816579055,230.44733688383945,31.02546229940864
1083,1083,2020-05-10 15:52:00,1144.6549682617188,225.64640045166016,0.7573193782220194,0.0,8268.5,0.6908586147110625,0.037909096381161966,0.14296075669599534,0.025111665209333868,0.08491014334505481,0.037066041829129634,0.13943950011791453,0.023698411015058558,0.07978918432098069,0.037470678759745975,0.14105403650313528,0.024158345497822253,0.08136427474183462,0.7648847902185977,0.3572975283679734,0.5832123592591605,0.27113175328484745,0.43844016773332906,0.35246241310020315,0.5751436357752551,0.26249283128723233,0.42418262874741264,0.3547988612837078,0.5792620737398282,0.26585036954637337,0.4299263096279276,947.8652487970746,231.1696284765147,31.32007638283727
