,Tiempo,Zenith,Azimuth,Area,Circul,A_Z,A_A,Área Predecida
0,2020-05-08 10:39:00+02:00,0.5666594926209054,-0.17372142254167514,36959.0,0.6248743456911251,35239.421511122026,23975.581221125867,42915.72642102929
0,2020-05-08 10:41:00+02:00,0.5616111735746041,-0.17985238782994176,36156.5,0.7382950055324583,34373.84659306472,23735.348477645424,42410.39786367629
0,2020-05-08 10:43:00+02:00,0.5565604759115875,-0.18602078886998766,35583.5,0.6852595606356015,33522.945454248926,23508.56247621375,41906.45944817556
0,2020-05-08 10:45:00+02:00,0.5515080552201492,-0.19222812374486847,35337.0,0.7174533789272294,32689.48580626794,23294.912705780705,41404.084929051096
0,2020-05-08 10:47:00+02:00,0.5464545741769083,-0.19847593340289194,34386.0,0.7168706793548597,31876.09736470366,23094.066960234974,40903.45119636705
0,2020-05-08 10:49:00+02:00,0.541400692889732,-0.20476581514786524,33759.5,0.6798602993481822,31085.246747950325,22905.671391201842,40404.73739212171
0,2020-05-08 10:51:00+02:00,0.5363470761801613,-0.21109941532232507,33356.5,0.7468462356183262,30319.217167001218,22729.351288631628,39908.12571119549
0,2020-05-08 10:53:00+02:00,0.5312943924432941,-0.21747843229993122,33110.5,0.7315981601972186,29580.088905792683,22564.71151194557,39413.801363002945
0,2020-05-08 10:56:00+02:00,0.5237185867014258,-0.22713596230399474,32899.0,0.7709322459016034,28525.84235962457,22338.73918558456,38677.01632166054
0,2020-05-08 10:58:00+02:00,0.5186711875895311,-0.23363630169361888,32812.0,0.7348521312515439,27861.591475316556,22201.442220609646,38189.2414931481
0,2020-05-08 11:00:00+02:00,0.513627096285798,-0.24018842531453538,32821.0,0.6743808369148441,27229.704212527256,22074.289556594285,37704.4277504342
0,2020-05-08 11:02:00+02:00,0.5085870036043921,-0.24679427674606236,32620.0,0.7161118618751198,26631.17619477352,21956.80111674728,37222.77538708241
0,2020-05-08 11:04:00+02:00,0.5035516067689708,-0.2534558561658832,32672.0,0.6706296232577265,26066.739956733538,21848.479790029043,36744.488372646854
