,Unnamed: 0,Unnamed: 0.1,Radiacion,Radiacion difusa,Ratio nubes,Factor solar,Área solar,Intensidad cielo,Intensidad cielo Equiponderado Coseno:True Gamma_corr:True,Intensidad cielo Equiponderado Coseno:False Gamma_corr:True,Intensidad cielo Equiponderado Coseno:True Gamma_corr:False,Intensidad cielo Equiponderado Coseno:False Gamma_corr:False,Intensidad cielo CCIR Coseno:True Gamma_corr:True,Intensidad cielo CCIR Coseno:False Gamma_corr:True,Intensidad cielo CCIR Coseno:True Gamma_corr:False,Intensidad cielo CCIR Coseno:False Gamma_corr:False,Intensidad cielo ITUR Coseno:True Gamma_corr:True,Intensidad cielo ITUR Coseno:False Gamma_corr:True,Intensidad cielo ITUR Coseno:True Gamma_corr:False,Intensidad cielo ITUR Coseno:False Gamma_corr:False,Intensidad nubes,Intensidad nubes Equiponderado Coseno:True Gamma_corr:True,Intensidad nubes Equiponderado Coseno:False Gamma_corr:True,Intensidad nubes Equiponderado Coseno:True Gamma_corr:False,Intensidad nubes Equiponderado Coseno:False Gamma_corr:False,Intensidad nubes CCIR Coseno:True Gamma_corr:True,Intensidad nubes CCIR Coseno:False Gamma_corr:True,Intensidad nubes CCIR Coseno:True Gamma_corr:False,Intensidad nubes CCIR Coseno:False Gamma_corr:False,Intensidad nubes ITUR Coseno:True Gamma_corr:True,Intensidad nubes ITUR Coseno:False Gamma_corr:True,Intensidad nubes ITUR Coseno:True Gamma_corr:False,Intensidad nubes ITUR Coseno:False Gamma_corr:False,ghi,Azimuth,Zenith
1019,1019,2020-05-22 13:33:00,773.7278442382812,87.45856475830078,0.03218503609411895,1.0,16319.0,0.971989167827595,0.9061681888155756,0.9439082629862804,0.8802619293676751,0.9169223048966976,0.903543355418666,0.9411748735706696,0.8741270692087701,0.910531450158282,0.9030923646156976,0.9407046772746936,0.8740055404180977,0.910406202366832,0.8744570529233779,0.023737970370744318,0.028311385644438705,0.02128996519356413,0.024814725480908233,0.02346406292433809,0.027979874914744667,0.020705370107673367,0.02411756142674132,0.023574779226771432,0.028144431811095803,0.020882126080507997,0.02436704765547966,789.8486909078243,154.69388273582422,21.561616735278697
1020,1020,2020-05-22 13:35:00,781.8414611816406,86.49559020996094,0.029852829564221937,1.0,15865.0,0.9717474296046588,0.9082903874065988,0.9457520692659964,0.8822517206276702,0.9186410974832304,0.9060488407183144,0.9434242480218136,0.8765246718544745,0.9126773913942772,0.9053916877092476,0.9427364934489556,0.8764147749274239,0.9125650613138344,0.8755941899011317,0.02201974475784959,0.02628818201937244,0.019790181521719682,0.023076039511130287,0.02177175877856662,0.025986329179357687,0.01925693460367427,0.02243889147636276,0.02187343738498132,0.026138964118541462,0.01942144408905006,0.02267194017615876,794.1707734471872,155.89630911827578,21.402348672612373
1021,1021,2020-05-22 13:37:00,785.4006958007812,85.47998046875,0.02816438235436132,1.0,16355.5,0.9718558644265142,0.9098751237121464,0.9464691649250871,0.8836673373920025,0.9192034768215512,0.9085443679204068,0.9450777415699094,0.8788343420661966,0.9141681341871276,0.9079773189110564,0.9444841442674774,0.8787390250217684,0.9140687796599476,0.8787785435569254,0.02081470780108467,0.02487529943449734,0.018803182583564414,0.02192487821673099,0.02059627117754882,0.02460481661209587,0.01832824010734292,0.021350022496080243,0.020693680273242282,0.02475025490554601,0.018483739136114542,0.021569327406881483,798.446925511531,157.11419812718532,21.250414409033734
1022,1022,2020-05-22 13:40:00,791.0721435546875,84.14046096801758,0.02808328250920108,1.0,16372.5,0.971950810218012,0.9108172702446056,0.9463939625193538,0.884618049961462,0.9191686127632784,0.9096730415373916,0.9452003909177574,0.8800793933608485,0.9144437505679496,0.9091498494558004,0.9446532602822733,0.879978796178598,0.9143409759234621,0.8802296587958119,0.02099502302460313,0.024846747124299982,0.01897177196662693,0.021935295249190148,0.02077442616082615,0.024576723011574604,0.018489047345156964,0.02135751522769953,0.020872485824408284,0.024719738180940462,0.01864802381051251,0.021576193322851173,804.7743113270922,158.96909660633094,21.03661611026145
1023,1023,2020-05-22 13:42:00,796.1812133789062,84.36761474609375,0.027436710477771846,1.0,15861.0,0.9716718651612998,0.9111403823260824,0.9471196043115964,0.8849853053192269,0.9199302149726852,0.909847680020062,0.9457730065601392,0.8800035156877895,0.9147465861702092,0.909117680674167,0.9450123511665534,0.8797551710763433,0.9144915289085476,0.8764327890379713,0.02063143291648703,0.024185761911208442,0.018534978794613903,0.021271129629336964,0.020402096960455942,0.023910302636837376,0.018039283756036074,0.02068678480584662,0.020496682466374903,0.02404643268606091,0.018192663071869182,0.020894415450125253,808.93419519113,160.22369611992497,20.90371456607521
1024,1024,2020-05-22 13:44:00,801.9739074707031,84.03414916992188,0.027486987693918868,1.0,15762.5,0.9714536272418892,0.911951945264827,0.9476885886977487,0.8856737897777405,0.9203790528925992,0.910016887976306,0.9456828443491948,0.8798088786701541,0.9142896621176456,0.9091253836965312,0.944755136476264,0.8796910592635101,0.9141693992354925,0.8785267522341709,0.020818333343896524,0.02429424809635135,0.01874096417028371,0.021421259667917768,0.020585248636174152,0.024016287028698714,0.018238890940373467,0.020832424161220504,0.020676657644760826,0.024148054027439164,0.01838998466768573,0.02103593784171702,813.0470047359795,161.49205510263766,20.77869438224532
1025,1025,2020-05-22 13:46:00,807.66259765625,84.32173919677734,0.025987812521534814,1.0,15437.0,0.9712698770440488,0.9138083436906064,0.9491253059985968,0.8874456018431214,0.9217429063770046,0.911880814023842,0.9471235547876026,0.8815365581441703,0.9156049697115703,0.9108258923920788,0.9460258597368384,0.8813753864867635,0.9154389935196838,0.8783524659355855,0.019702691283277115,0.02295362225475612,0.017753189596434408,0.02024662855195516,0.019487240701249683,0.02269707812659151,0.017284935260450694,0.019699026490263127,0.019576950287629742,0.02282645921256179,0.017433222822964566,0.01989852350470463,817.1124215431767,162.77355948616992,20.661701222073376
1026,1026,2020-05-22 13:48:00,813.2621459960938,84.54556655883789,0.02494289023909453,1.0,14907.5,0.9709539330048031,0.9145180204511816,0.9500179317731958,0.8879403674503702,0.9224076754198384,0.9126455205169078,0.9480731909105292,0.8819218300951482,0.916155041988686,0.9113484944701394,0.9467238415166008,0.8817562124097404,0.9159836879147796,0.8771585145992661,0.018834255257775576,0.022002029468571056,0.016952780094115324,0.01938016287002149,0.01862753683398051,0.021755255291668968,0.01650382857711371,0.01885382230604796,0.018712722470895667,0.02187886855193669,0.01664634616229607,0.019046387333582368,821.1301309731107,164.0675404656746,20.552874461646084
1027,1027,2020-05-22 13:50:00,820.0267028808594,84.5740966796875,0.0245201631560122,1.0,15198.0,0.971466074904736,0.9152391678129548,0.9499669692884422,0.8887017381661482,0.9224201245119616,0.9139100686779602,0.94859164409363,0.8837154900904242,0.9172462821124304,0.9129989383842112,0.9476426373368984,0.8835214702678688,0.917045075746794,0.8820902407109303,0.01872358163693726,0.021734102101638314,0.016955368970368256,0.01926476056250176,0.018530978382537013,0.02150408428892394,0.016530950702618757,0.01876741408445515,0.01861881534438362,0.021628996620558085,0.01667436092028471,0.018958252695776782,825.0998221576125,165.37327370622342,20.452346633393766
1028,1028,2020-05-22 13:52:00,824.4552612304688,85.1436996459961,0.023841127747257256,1.0,15062.0,0.9713157329567886,0.9164698981559368,0.951312220459442,0.8900671922385597,0.9239057248905128,0.9143663697248284,0.9491307839996294,0.8839389145561711,0.917541944715564,0.9134335177837248,0.948158239482968,0.8837668164680409,0.917364181278832,0.8818251587537221,0.01839387296669396,0.021135836160563318,0.0166191925445547,0.01872787648146048,0.018198565748072968,0.020905873859662975,0.016194877423239044,0.01823646879493948,0.018283180739283082,0.0210237062605929,0.016332847029425827,0.018416591165132855,829.021189355754,166.68998122049447,20.36024266262495
