,Radiacion,Radiacion difusa,Ratio nubes,Factor solar,Área solar,Intensidad cielo,Intensidad nubes,ghi,Azimuth,Zenith
2020-05-11 15:44:00,365.05116271972656,274.6879425048828,0.8358741883569687,0.25,554.5,0.31339577865788804,0.6003914839601449,888.7416564607556,228.5286499296581,29.95974466780814
2020-05-11 15:46:00,915.9993896484375,243.38684844970703,0.8930208660994677,0.0,0.0,0.2970599028537335,0.6211556195715566,885.9960452707319,229.28487312466325,30.246216909012553
2020-05-11 15:48:00,1142.051513671875,193.19090270996094,0.9778620861974158,0.0,7.0,0.2585004230612869,0.6097523948806098,883.1952495679184,230.0297006074987,30.535942200283863
2020-05-11 15:50:00,771.9710998535156,227.56060028076172,0.9881965738362524,0.0,0.0,0.251889451728268,0.5778307052907815,880.339487962803,230.7633371966414,30.828822762927068
2020-05-11 15:52:00,668.8222045898438,232.39005279541016,0.996152328010902,0.0,0.0,0.2250791254881316,0.5615540211389646,877.4289805419222,231.48599039757568,31.124763666543608
2020-05-11 15:55:00,820.7847595214844,256.1216049194336,0.9964528193447039,0.2,3.5,0.2361624384934514,0.5462473278988129,872.9610649371183,232.54983286549881,31.574211516067734
2020-05-11 15:57:00,932.3263549804688,355.8247985839844,0.9638605260801633,0.25,2860.0,0.2747656506760503,0.5326001192515791,869.9146878085648,233.24594174482849,31.87740407252165
2020-05-11 15:59:00,448.07115173339844,379.39955139160156,0.9192826835891885,0.25,71581.5,0.2747638924447176,0.46623818551254054,866.8143707916512,233.931799850572,32.18334420792002
2020-05-11 16:01:00,1266.2525024414062,376.5274963378906,0.8824430789251505,0.25,63248.0,0.29974396961013944,0.5090278716623237,863.6603560262961,234.60761593084817,32.49194781336801
2020-05-11 16:03:00,855.737548828125,430.6733856201172,0.8085075612714018,0.85,43765.5,0.33194500012050027,0.5513879578838281,860.4528867327247,235.27359863018813,32.803133448909335
2020-05-11 16:05:00,500.4873962402344,400.8533477783203,0.8067575859998228,0.85,25753.5,0.34119459675898384,0.5711663565850191,857.1922113266658,235.92995521089276,33.116821888528584
2020-05-11 16:07:00,668.1286010742188,442.81834411621094,0.8192395787870932,0.85,30214.0,0.3501671358567504,0.5812423518890109,853.8785823934461,236.5768914599477,33.43293617178961
2020-05-11 16:09:00,499.7130432128906,414.6479034423828,0.8627852733932034,0.85,34363.5,0.35756935736954476,0.5836566629664829,850.5122566473791,237.2146114077477,33.751401556028064
2020-05-11 16:11:00,830.7333068847656,496.77069091796875,0.6799609079994918,0.85,42215.5,0.3655550727157653,0.5844292391947,847.0934937813705,237.84331727901576,34.072145570798085
2020-05-11 16:13:00,1087.667236328125,454.9208984375,0.5510188343842717,0.85,36942.0,0.37591583929607675,0.5909980009827073,843.6225610440252,238.46320842997903,34.395097535375655
2020-05-11 16:15:00,1306.4535522460938,403.36070251464844,0.4644059576977582,0.85,54346.5,0.384917385658095,0.5971514473400643,840.0997263347505,239.0744824178201,34.7201891518843
2020-05-11 16:17:00,1341.1799926757812,363.5504608154297,0.4022605058286412,0.85,50657.0,0.386506431429206,0.6056088379765561,836.5252627769275,239.6773339790168,35.04735402024
2020-05-11 16:19:00,1310.83251953125,337.324951171875,0.39423865293625976,0.25,56628.5,0.3806524712842695,0.609912113937205,832.8994475367291,240.27195509815732,35.37652769404318
2020-05-11 16:21:00,1237.8569946289062,288.8031463623047,0.4245708154003449,0.85,68240.0,0.3727315688972656,0.6190671037660055,829.2225605874776,240.85853507288482,35.70764773610451
2020-05-11 16:23:00,985.709716796875,272.54434967041016,0.4273217643388511,0.85,75194.5,0.3591026305098922,0.6286681232176062,825.4948896306938,241.43725962498166,36.04065322112471
2020-05-11 16:25:00,638.3805541992188,226.76940155029297,0.4008263746072166,0.85,67621.5,0.35549343808771483,0.633628648202836,821.7167226701858,242.0083119934448,36.375485349707176
2020-05-11 16:27:00,1155.4929809570312,264.2876892089844,0.38170849246638694,0.85,60401.5,0.3563326889692092,0.628141881663079,817.8883529331088,242.57187206947046,36.71208695008317
2020-05-11 16:29:00,1227.4945068359375,278.8745422363281,0.38174646407019025,0.85,53600.5,0.3548148309093214,0.6241348097379581,814.0100775991285,243.12811654193285,37.05040253934334
2020-05-11 16:31:00,1223.6845092773438,275.6554412841797,0.34489056911933536,0.85,54520.5,0.36486265838334214,0.6366219718211256,810.0821978070933,243.67721885061133,37.39037826998372
2020-05-11 16:33:00,573.6923828125,363.0233459472656,0.2981808085888955,0.85,37276.5,0.3783406619954299,0.6425890307579343,806.1050172844023,244.2193493377871,37.73196199519876
2020-05-11 16:35:00,713.6829528808594,420.13710021972656,0.30009614785111194,0.5,34723.0,0.396346758737466,0.6484230030514677,802.078847667804,244.7546745056166,38.07510276163988
2020-05-11 16:37:00,701.6488342285156,417.1009521484375,0.25482098732732883,0.25,44451.5,0.40718605512368444,0.6631950845435886,798.0040005094729,245.28335809394872,38.41975144582007
2020-05-11 16:39:00,380.87599182128906,334.2167053222656,0.2634093671727516,0.5,20018.5,0.39482859351816707,0.6679469871422138,793.8807925461728,245.80556035484148,38.76586025147994
2020-05-11 16:41:00,368.3796081542969,325.6416473388672,0.2712544880326162,0.75,22489.5,0.3969400719534718,0.6702903072945957,789.709544381577,246.32143824012235,39.11338277509602
2020-05-11 16:58:00,238.88255310058594,214.56900024414062,0.16594844862559202,0.0,40876.5,0.3458712029914573,0.7432619233586124,752.3611608131632,250.47191607838886,42.118367468138686
2020-05-11 17:00:00,265.2257995605469,238.64244842529297,0.24537320695508522,0.25,67215.0,0.3217871843830511,0.7034950571162366,747.750246482759,250.934924620076,42.47724640316555
2020-05-11 17:02:00,281.95289611816406,252.75479888916016,0.2093362798047791,0.0,53874.5,0.35593097833047466,0.702967225867555,743.0948862798442,251.39306469137824,42.83712520826303
2020-05-11 17:04:00,308.3323516845703,274.3147888183594,0.2284999857020504,0.25,52355.0,0.3561935334747926,0.6951547655859265,738.3954437911295,251.84645766125863,43.197970524745315
2020-05-11 17:06:00,434.89195251464844,376.6063995361328,0.25094108635352125,0.2,21508.0,0.3688423932308728,0.686443608244842,733.6522846134427,252.2952222557562,43.559750022836305
2020-05-11 17:08:00,610.9754333496094,485.2517547607422,0.2589493444741706,0.85,24105.0,0.38297528466534864,0.6941663424331382,728.865782741692,252.73947401109407,43.92243188224189
2020-05-11 17:10:00,797.3026733398438,526.7495574951172,0.28456083965060497,0.0,47785.0,0.3838099977503802,0.6897567954798037,724.0363109735266,253.17932623676597,44.28598549206558
2020-05-11 17:12:00,514.6336975097656,448.17994689941406,0.3171596959083956,0.85,26721.5,0.3812350700055776,0.6743302645572719,719.1642472693874,253.61488946675476,44.65038093395211
2020-05-11 17:14:00,527.2242126464844,436.5581970214844,0.34906053095552964,0.2,23229.0,0.35031647350660333,0.6752411983734132,714.2499731385944,254.04627166978972,45.01558907562306
