Tiempo,Unnamed: 0,E_Zenith,E_Azimuth,Zenith,Azimuth
2020-05-04 13:22:00+02:00,0,-6.1805555555555545,10.863212810114305,26.562296266683184,152.4936785808236
2020-05-04 13:25:00+02:00,0,-2.2916666666666665,13.610184289565609,26.304825704442827,154.00510271041117
2020-05-04 13:26:00+02:00,0,-6.8055555555555545,12.045571907987211,26.222013717682437,154.5144764982648
2020-05-04 17:32:00+02:00,0,8.333333333333332,17.287554930194972,49.45490471667217,255.74332635836544
2020-05-04 17:33:00+02:00,0,8.333333333333332,17.146787221114952,49.63925078724039,255.94541726530394
2020-05-04 17:34:00+02:00,0,8.402777777777779,17.13548501140116,49.82375963588037,256.14669950843796
2020-05-04 18:15:00+02:00,0,9.930555555555557,15.491950210261564,57.496268079564736,263.81512555767216
2020-05-04 18:21:00+02:00,0,10.069444444444443,15.21195027983731,58.63144727455506,264.85977721508357
2020-05-04 18:22:00+02:00,0,10.0,15.18981070734344,58.82083477198343,265.03235792629266
2020-05-04 18:26:00+02:00,0,10.208333333333334,15.06575365671682,59.57886257691276,265.7185442108458
2020-05-04 18:29:00+02:00,0,10.416666666666666,14.948242906750634,60.14783438254109,266.22900949680155
2020-05-04 19:02:00+02:00,0,11.666666666666664,14.881492788713615,66.41867591493104,271.6518186465434
2020-05-04 19:06:00+02:00,0,11.25,14.428514198548443,67.17872921261865,272.29016056611636
2020-05-04 19:07:00+02:00,0,11.111111111111109,14.366514990408804,67.36869323798827,272.4492529968682
2020-05-04 19:08:00+02:00,0,10.555555555555557,14.344779535887938,67.55863465431679,272.6081568868242
2020-05-04 19:09:00+02:00,0,10.416666666666666,14.171220605722,67.74855202543813,272.7668765236819
2020-05-04 19:10:00+02:00,0,10.486111111111109,13.905028313107836,67.93844404678788,272.9254162722518
2020-05-04 19:11:00+02:00,0,10.486111111111109,13.911075310175931,68.12830903733952,273.0837801509499
2020-05-04 19:12:00+02:00,0,10.625,13.790354944553599,68.31814570135391,273.24197246834
2020-05-04 19:13:00+02:00,0,10.763888888888891,13.765446646784026,68.50795262030523,273.39999739938656
2020-05-04 19:15:00+02:00,0,10.625,13.928059305399756,68.8874715685881,273.715561666912
2020-05-04 19:17:00+02:00,0,10.277777777777775,13.756077922876216,69.26685461297613,274.0305058193696
2020-05-04 19:19:00+02:00,0,10.555555555555557,13.933112169149867,69.64609054123014,274.34486230813434
2020-05-04 19:21:00+02:00,0,10.208333333333334,14.011424211771612,70.02516832179293,274.6586632890467
2020-05-04 19:23:00+02:00,0,9.861111111111109,13.807970818529668,70.40407659223997,274.9719402152522
2020-05-04 19:25:00+02:00,0,9.305555555555557,13.841258351586704,70.78280441521478,275.28472447873594
2020-05-04 19:32:00+02:00,0,8.888888888888891,13.565126154649706,72.10677208365692,276.3760331022409
2020-05-04 19:34:00+02:00,0,9.791666666666666,13.201090091304591,72.484551986021,276.68697808354483
2020-05-04 19:36:00+02:00,0,8.402777777777779,12.985510234465778,72.86209121630654,276.9975962874342
2020-05-04 19:38:00+02:00,0,8.26388888888889,13.45961423595975,73.23937890752751,277.3079168390029
2020-05-04 19:40:00+02:00,0,8.333333333333332,13.318528662458618,73.61640420755967,277.61796856976326
2020-05-04 19:42:00+02:00,0,7.708333333333334,13.620350112082914,73.99315627660444,277.9277800284503
2020-05-04 19:44:00+02:00,0,7.847222222222222,13.644956079474927,74.36962441079672,278.2373795953123
2020-05-04 19:47:00+02:00,0,8.125,13.491179756993516,74.93377012701472,278.7014425042067
2020-05-04 19:49:00+02:00,0,8.125,13.348747375263256,75.30948062276116,279.0106339767933
2020-05-04 19:51:00+02:00,0,7.916666666666668,12.941328307185302,75.68486916768721,279.3197104021744
2020-05-04 19:53:00+02:00,0,7.430555555555557,12.81884287912959,76.05992492823339,279.6286989411583
2020-05-04 19:55:00+02:00,0,7.222222222222222,13.029858206733195,76.43463718540076,279.9376266331859
2020-05-04 19:57:00+02:00,0,7.847222222222222,13.248297678136225,76.8089948300124,280.2465199910499
2020-05-04 19:59:00+02:00,0,8.958333333333334,13.407083343345278,77.1829871144278,280.55540563123293
2020-05-04 20:01:00+02:00,0,9.027777777777779,13.583448153018534,77.55660314421317,280.8643098653289
2020-05-04 20:03:00+02:00,0,9.236111111111109,13.9015398072936,77.92983200346785,281.17325881350473
2020-05-04 20:05:00+02:00,0,9.305555555555557,13.55930797555152,78.30266274928759,281.48227840987465
2020-05-04 20:07:00+02:00,0,9.097222222222225,13.151554831789493,78.67508453448967,281.79139451419525
2020-05-04 20:09:00+02:00,0,8.75,13.228302549799366,79.04708610628126,282.10063250512894
2020-05-04 20:11:00+02:00,0,8.541666666666668,13.730178285302033,79.41865654999428,282.4100179068734
2020-05-04 20:13:00+02:00,0,8.055555555555555,13.622535542315573,79.78978478926122,282.7195759835649
2020-05-04 20:15:00+02:00,0,6.944444444444443,13.73998149266549,80.16045970588219,283.02933184761434
2020-05-04 20:17:00+02:00,0,6.8055555555555545,13.61286836157268,80.53067026058451,283.3393105696563
2020-05-04 20:19:00+02:00,0,6.666666666666666,11.757155248602315,80.90040499682104,283.64953677142074
2020-05-04 20:21:00+02:00,0,6.111111111111112,13.48046965125735,81.26965277887741,283.96003525207743
2020-05-04 20:23:00+02:00,0,5.5555555555555545,12.314625075174833,81.63840229539277,284.27083058092416
2020-05-04 20:25:00+02:00,0,4.791666666666667,12.188096941963634,82.00664217829394,284.58194720483925
2020-05-04 20:27:00+02:00,0,4.236111111111112,12.041419317470856,82.3743610009551,284.89340945454825
