,Radiacion,Radiacion difusa,Ratio nubes,Factor solar,Área solar,Intensidad cielo,Intensidad nubes,ghi,Azimuth,Zenith
2020-05-04 13:22:00,246.23390197753906,216.7792510986328,0.8028612775428904,0.0,31716.0,0.30372983552672245,0.5586472828225777,919.4795862545387,152.4936785808236,26.562296266683184
2020-05-04 13:25:00,168.29409790039062,150.20804595947266,0.8824994503493153,0.0,28737.5,0.27211564755840856,0.5712140132898487,921.6701416275827,154.00510271041117,26.304825704442827
2020-05-04 13:26:00,160.0895004272461,142.93450164794922,0.9837077208458949,0.25,41422.0,0.21784316637668374,0.5275017019743158,922.3704984314818,154.5144764982648,26.222013717682437
2020-05-04 17:32:00,289.94134521484375,258.30780029296875,0.048235070479515724,0.85,59940.5,0.4723629308627607,0.8248528422731523,652.0853844450218,255.74332635836544,49.45490471667217
2020-05-04 17:33:00,293.5324401855469,261.55364990234375,0.047346370875686127,0.85,59029.5,0.47281182607452943,0.8261776545642862,649.4100697786974,255.94541726530394,49.63925078724039
2020-05-04 17:34:00,293.6665954589844,262.05279541015625,0.045191247967230036,0.85,57977.0,0.47388137982197936,0.8293656585138423,646.725147556952,256.14669950843796,49.82375963588037
2020-05-04 18:15:00,413.25059509277344,364.76023864746094,0.12900934429603225,0.85,84019.0,0.44937196566890686,0.7628927526899031,529.0541187929578,263.81512555767216,57.496268079564736
2020-05-04 18:21:00,970.416748046875,327.67840576171875,0.13412636949745754,0.85,86496.0,0.4435700243273662,0.7680992967520642,510.7219663783704,264.85977721508357,58.63144727455506
2020-05-04 18:22:00,940.5256652832031,256.60560607910156,0.147953658704662,0.85,87514.5,0.4404241519306844,0.759065098069525,507.64240351758,265.03235792629266,58.82083477198343
2020-05-04 18:26:00,775.6963195800781,234.66010284423828,0.14149356381315534,0.85,87270.5,0.4399957136749879,0.7669943433059287,495.25732981970685,265.7185442108458,59.57886257691276
2020-05-04 18:29:00,848.0695495605469,183.42174530029297,0.15085672845099765,0.85,89236.5,0.4350404115374615,0.7592301455443062,485.9001715051629,266.22900949680155,60.14783438254109
2020-05-04 19:02:00,700.8121337890625,147.03710174560547,0.2288439568661332,0.85,82897.5,0.41641963570855245,0.6954147713585717,379.6375874532872,271.6518186465434,66.41867591493104
2020-05-04 19:06:00,696.0967407226562,144.5935516357422,0.23582287981331096,0.85,104171.0,0.41719003462614507,0.7006850628258976,366.4117535548443,272.29016056611636,67.17872921261865
2020-05-04 19:07:00,693.5606079101562,144.0949478149414,0.26045672338811715,0.25,112756.5,0.41192953619715433,0.6869677787585835,363.0959829992659,272.4492529968682,67.36869323798827
2020-05-04 19:08:00,691.6270446777344,143.94609832763672,0.27747186937018237,0.25,119322.5,0.4051555038676066,0.6780376127508946,359.77664548292023,272.6081568868242,67.55863465431679
2020-05-04 19:09:00,688.3055419921875,143.8666534423828,0.28719892854447343,0.85,115837.5,0.4102952850717324,0.677165034977622,356.45382090528506,272.7668765236819,67.74855202543813
2020-05-04 19:10:00,686.8628845214844,143.15995025634766,0.2836232691863248,0.25,111250.5,0.4145707031379335,0.6795014138601646,353.12758751879693,272.9254162722518,67.93844404678788
2020-05-04 19:11:00,684.4118347167969,142.16339874267578,0.28787960470154084,0.25,109506.0,0.4149288313969811,0.6745656043368254,349.79803084677053,273.0837801509499,68.12830903733952
2020-05-04 19:12:00,679.5618591308594,141.47344970703125,0.2915326136229926,0.25,106223.0,0.4162888695079377,0.672295845737419,346.46523035703206,273.24197246834,68.31814570135391
2020-05-04 19:13:00,676.6986999511719,141.2865982055664,0.3120539215525417,0.25,113025.5,0.4139263107648377,0.6611360167764163,343.1292683768784,273.39999739938656,68.50795262030523
2020-05-04 19:15:00,669.2075500488281,141.24514770507812,0.31928587132876707,0.25,116936.5,0.4168504986504069,0.654630441518485,336.4481925743949,273.715561666912,68.8874715685881
2020-05-04 19:17:00,663.2893371582031,139.2134017944336,0.32383004097651713,0.25,113607.5,0.41495765269444207,0.6492547918972877,329.75547562062684,274.0305058193696,69.26685461297613
