,Radiacion,Radiacion difusa,Ratio nubes,Factor solar,Área solar,Intensidad cielo,Intensidad nubes,ghi,Azimuth,Zenith
2020-05-08 09:52:00,43.358341217041016,37.16018486022949,0.0727742194374296,1.0,53184.0,0.4537151001612002,0.8355418642415435,489.60772890049634,92.50307471989538,59.9227676122873
2020-05-08 09:54:00,39.819379806518555,36.09591484069824,0.07505157809516622,1.0,52852.5,0.4549072018528812,0.8320221883286285,495.8541161434213,92.83750489717625,59.542467080443714
2020-05-08 09:56:00,40.819515228271484,36.76682472229004,0.06981442667800501,1.0,48001.0,0.4543540904396076,0.8330057827189585,502.0753646020251,93.17340944103756,59.16227654943549
2020-05-08 09:58:00,43.38821983337402,39.42075538635254,0.07252048943053377,0.75,47970.0,0.44913799634080065,0.8268537493405795,508.27095715277835,93.51083511339823,58.782209588433446
2020-05-08 10:00:00,46.84327507019043,42.75790596008301,0.07221460706656235,0.75,47512.5,0.4495175765098233,0.8255629823729215,514.4403826309851,93.8498296631492,58.402279828575374
2020-05-08 10:02:00,50.915679931640625,46.18570899963379,0.07096728676014556,0.75,46017.0,0.45021842952955415,0.8261734238155022,520.5831274592166,94.19044139460476,58.02250148297956
2020-05-08 10:05:00,54.2155647277832,48.72043418884277,0.0736097119174113,0.75,45063.5,0.450641199119814,0.8214069989051089,529.7461171836878,94.70449986425945,57.45314867253221
2020-05-08 10:07:00,55.25956916809082,50.04937171936035,0.067823495797106,0.75,43124.0,0.4503266169359494,0.823509802854417,535.8199612535359,95.04937329236083,57.07381099009929
2020-05-08 10:09:00,85.11124801635742,53.19293022155762,0.06739256497246121,0.75,41589.5,0.4499894577580398,0.8209582401810381,541.8653728930461,95.39604133483948,56.69467513495214
2020-05-08 10:11:00,99.03819274902344,55.177080154418945,0.06946529887636868,0.75,43021.5,0.45219432725648373,0.8203200261598484,547.8818611708058,95.74455701903935,56.315755937978935
2020-05-08 10:13:00,116.34514999389648,57.695634841918945,0.06808613272341249,0.75,42273.5,0.45345641504956946,0.8198061106612016,553.8689326356553,96.09497407245954,55.93706886013827
2020-05-08 10:15:00,130.12585067749023,61.91127586364746,0.06608008351877696,0.75,41814.5,0.45519208489906277,0.819923787557783,559.8261034344306,96.44734765700423,55.55862923712743
2020-05-08 10:17:00,145.53429412841797,67.07699966430664,0.06506551508011774,0.75,41840.5,0.4560987154689773,0.8195399616752579,565.752891166335,96.8017339311935,55.18045280025363
2020-05-08 10:19:00,158.06179809570312,73.2236557006836,0.06374201717347819,0.75,42267.0,0.45706651255933256,0.8200527949992695,571.6488168989555,97.15819019983667,54.80255555868517
2020-05-08 10:21:00,169.73989868164062,78.94055557250977,0.06288671851743857,0.75,41808.5,0.4578210124618921,0.8199734639211054,577.51340712486,97.5167750684721,54.424953682646716
2020-05-08 10:23:00,175.68294525146484,80.49162292480469,0.06077823973958043,0.75,41531.0,0.45902521800632906,0.8189455199143779,583.346185851737,97.87754799316497,54.04766402329567
2020-05-08 10:25:00,179.5385513305664,80.12456512451172,0.06007869497691936,0.75,41627.0,0.4595926110495195,0.8197497040869254,589.1466864297255,98.24057003902249,53.67070336177
2020-05-08 10:27:00,165.49330139160156,78.71618270874023,0.05881789709507855,1.0,41139.0,0.4599655573198225,0.8196767034756196,594.9144436260403,98.6059034330554,53.294088930013714
2020-05-08 10:29:00,183.59244537353516,76.58039855957031,0.058722499300338044,1.0,40662.0,0.46032231418087083,0.81652790242631,600.6489956036355,98.97361172121066,52.91783829533114
2020-05-08 10:31:00,185.28695678710938,74.04337692260742,0.05822828246935434,1.0,39878.5,0.46053888571849366,0.814175766693169,606.3498839302443,99.343759806442,52.54196937199246
2020-05-08 10:33:00,152.8582992553711,73.0641860961914,0.05755932594309041,1.0,39141.0,0.4604932080866076,0.8109765156321407,612.0166554306389,99.71641410955738,52.16650031093636
2020-05-08 10:35:00,91.45162200927734,73.94770431518555,0.05547487240837944,1.0,38632.5,0.46095974648872723,0.8103496930656471,617.6488546376236,100.09164211006782,51.791450013918556
2020-05-08 10:37:00,126.97165298461914,78.62442016601562,0.05502143989259193,1.0,37708.5,0.4610154891003577,0.8075000473847329,623.2460351544848,100.46951313298689,51.41683739456159
2020-05-08 10:39:00,214.74244689941406,84.27864074707031,0.05505191093268103,1.0,37014.5,0.46147393139863885,0.8054156012267935,628.8077520598266,100.85009789131834,51.04268189545752
2020-05-08 10:41:00,230.3302001953125,89.32355117797852,0.054305487646805956,1.0,36173.5,0.4620712076474088,0.804766132235126,634.3335638310539,101.2334686528979,50.66900337608262
2020-05-08 10:43:00,238.09100341796875,92.21191787719727,0.05391276281858058,1.0,35607.5,0.46244348005312513,0.8029243652842272,639.8230323118877,101.61969927995574,50.29582213066227
2020-05-08 10:45:00,243.98695373535156,92.57397079467773,0.05430232334648901,1.0,35353.0,0.4629049192054853,0.8017795174645302,645.2757245806711,102.00886540584048,49.92315877646789
2020-05-08 10:47:00,247.65499877929688,90.92439270019531,0.055452019128312616,1.0,34408.0,0.4632555314865122,0.7993931119591323,650.6912056200812,102.4010439532405,49.551034772371544
2020-05-08 10:49:00,248.54195404052734,87.6477279663086,0.053362057367123995,1.0,33775.5,0.4643973171183987,0.800728162737896,656.0690493096462,102.79631396254536,49.1794716851354
2020-05-08 10:51:00,247.79930114746094,84.8695297241211,0.052632744742222036,1.0,33366.5,0.4652915302630759,0.8011689530625558,661.4088311237794,103.19475611723624,48.80849170597437
